Name:,Address:,County:,Type:,Capacity,Status:,Closed Date:,License Number,License Status,Licensee Name,Zip,URL,,
100 ACRE WOOD DAYCARE CENTER,"1340 ONONDAGA RD.                                  HOLT , MI 48842
                                 Phone: (517) 694-2458",INGHAM,CHILD CARE CENTER,73,ACTIVE,N/A,DC330299143,REGULAR,100 ACRE WOOD DAYCARE,48842,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC330299143,,
1045 ARCOLA ST,"1045 ARCOLA ST                                  GARDEN CITY , MI 48135
                                 Phone: (734) 377-5722",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,6/18/2021,DF820407101,CLOSED,"FREHSE, JESSICA",48135,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820407101,,
10822 WHITEHILL,"10822 WHITEHILL                                  DETROIT , MI 48224
                                 Phone: (313) 629-8345",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,3/30/2021,DF820402720,CLOSED,"MOORE, CHANTELLE",48224,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820402720,,
111 W 27TH ST,"111 W 27TH ST                                  HOLLAND , MI 49423
                                 Phone: (616) 834-3444",OTTAWA,CHILD CARE FAMILY HOME (CAPACITY 1-6),5,CLOSED,9/25/2019,DF700396375,CLOSED,"GORT, ANNALISA",49423,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF700396375,,
123 GROW WITH ME,"451 HELEN ST                                  BROOKLYN , MI 49230
                                 Phone: (517) 914-5435",JACKSON,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,9/30/2020,DG380390998,CLOSED,"MICKELS, CHARITY",49230,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG380390998,,
13833 FORDHAM,"13833 FORDHAM                                  DETROIT , MI 48205
                                 Phone: (717) 300-0536",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),1,CLOSED,2/21/2020,DF820398358,CLOSED,"TASSIE, PAMELA",48205,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820398358,,
14626 EASTBURN,"14626 EASTBURN ST                                  DETROIT , MI 48205
                                 Phone: (313) 673-8665",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),2,CLOSED,9/25/2019,DF820401684,CLOSED,"FREDERICK, BRENDA",48205,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820401684,,
16245 FOREST,"16245 FOREST                                  EASTPOINTE , MI 48089
                                 Phone: (313) 768-8322",MACOMB,CHILD CARE FAMILY HOME (CAPACITY 1-6),3,CLOSED,7/21/2020,DF500400644,CLOSED,"SAMUEL, TOYASHA",48089,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF500400644,,
16566 STARTHMOOR,"9200 MENDOTA ST                                  DETROIT , MI 48204
                                 Phone: (313) 307-2699",WAYNE,CHILD CARE FAMILY HOME (CAPACITY 1-6),4,CLOSED,12/2/2020,DF820402471,CLOSED,"BYNUM, JURAH",48204,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF820402471,,
1874 FRANKLIN ST,"1874 FRANKLIN ST                                  MUSKEGON , MI 49441
                                 Phone: (231) 343-3791",MUSKEGON,CHILD CARE GROUP HOME (CAPACITY 7-12),12,CLOSED,6/16/2022,DG610412868,CLOSED,"CUMMINS, DANIELLE",49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DG610412868,,
1ST ADVANTAGE LEARNING CENTER,"26555 JOHN R ROAD                                  MADISON HEIGHTS , MI 48071
                                 Phone: (248) 439-2444",OAKLAND,CHILD CARE CENTER,15,CLOSED,2/22/2021,DC630347309,CLOSED,"1ST ADVANTAGE LEARNING CENTER, LLC",48071,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC630347309,,
2 DAY'S CHILD LEARNING CENTER,"15075 MEYERS                                  DETROIT , MI 48227
                                 Phone: (313) 931-0998",WAYNE,CHILD CARE CENTER,42,ACTIVE,N/A,DC820289306,REGULAR,"2 DAY'S CHILD LEARNING CENTER, INC.",48227,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC820289306,,
21ST CENTURY - MILWOOD MAGNET,"2916 KONKLE                                  KALAMAZOO , MI 49001
                                 Phone: (269) 337-0670",KALAMAZOO,CHILD CARE CENTER,100,ACTIVE,N/A,DC390277285,REGULAR,KALAMAZOO PUBLIC SCHOOLS,49001,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390277285,,
21ST CENTURY/KCIS - HILLSIDE MIDDLE SCHOOL,"1941 ALAMO AVE.                                  KALAMAZOO , MI 49006
                                 Phone: (269) 337-0570",KALAMAZOO,CHILD CARE CENTER,260,ACTIVE,N/A,DC390303300,REGULAR,KALAMAZOO PUBLIC SCHOOLS,49006,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390303300,,
21ST CENTURY/KCIS - LINDEN GROVE MIDDLE SCHOOL,"4241 ARBORETUM PKWY.                                  KALAMAZOO , MI 49006
                                 Phone: (269) 337-1740",KALAMAZOO,CHILD CARE CENTER,100,ACTIVE,N/A,DC390303302,REGULAR,KALAMAZOO PUBLIC SCHOOLS,49006,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390303302,,
21ST CENTURY/KCIS - MAPLE STREET MAGNET,"922 W. MAPLE ST.                                  KALAMAZOO , MI 49008
                                 Phone: (269) 337-0730",KALAMAZOO,CHILD CARE CENTER,300,ACTIVE,N/A,DC390303299,REGULAR,KALAMAZOO PUBLIC SCHOOLS,49008,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DC390303299,,
2250 HENRY ST,"2250 HENRY ST                                  MUSKEGON , MI 49441
                                 Phone: (231) 638-7795",MUSKEGON,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,7/23/2019,DF610399578,CLOSED,"COLEMAN, WRAENIQUE",49441,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF610399578,,
"27100 HARVARD RD SOUTHFIELD, MI 48076","27100 HARVARD RD.                                  SOUTHFIELD , MI 48076
                                 Phone: (313) 212-6689",OAKLAND,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,8/28/2019,DF630395727,CLOSED,"MALONE, CHRISTINA",48076,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF630395727,,
2BKIDS CREATIVE STATION,"622 BATES ST                                  GRAND RAPIDS , MI 49503
                                 Phone: (616) 889-0256",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,CLOSED,2/4/2020,DF410399804,CLOSED,"PARDON, RACHAEL",49503,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410399804,,
2BKIDS CREATIVE STATION,"1934 LAFAYETTE AVE SE                                  GRAND RAPIDS , MI 49507
                                 Phone: (616) 889-0256",KENT,CHILD CARE FAMILY HOME (CAPACITY 1-6),6,ACTIVE,N/A,DF410403856,REGULAR,"PARDON, RACHAEL",49507,https://childcaresearch.apps.lara.state.mi.us/Home/FacilityProfile/DF410403856,,
